Strategy,Algorithm,Problem,Run,Score
CENTER_LINE,LMCMA,prob3,1,49.94271592264255
CENTER_LINE,LMCMA,prob3,2,105.51840690216149
CENTER_LINE,LMCMA,prob3,3,45.729225157827095
CENTER_LINE,LMCMA,prob4,1,5615.166812061366
CENTER_LINE,LMCMA,prob4,2,3904.0437533360973
CENTER_LINE,LMCMA,prob4,3,5395.276528445442
CENTER_LINE,AStarSeeds,prob1,1,36.39787813046773
CENTER_LINE,AStarSeeds,prob1,2,36.323699046737445
CENTER_LINE,AStarSeeds,prob1,3,36.34412930771228
CENTER_LINE,AStarSeeds,prob2,1,31.44020302296687
CENTER_LINE,AStarSeeds,prob2,2,31.44020260577568
CENTER_LINE,AStarSeeds,prob2,3,31.44020260577903
CENTER_LINE,AStarSeeds,prob3,1,28.216394510564374
CENTER_LINE,AStarSeeds,prob3,2,31.556737459509883
CENTER_LINE,AStarSeeds,prob3,3,29.09638234571287
CENTER_LINE,AStarSeeds,prob4,1,2804.750696803461
CENTER_LINE,AStarSeeds,prob4,2,5463.32039114865
CENTER_LINE,AStarSeeds,prob4,3,2746.444345957434
CENTER_LINE,NBIPOP,prob1,1,37.35651083109129
CENTER_LINE,NBIPOP,prob1,2,38.389728838832575
CENTER_LINE,NBIPOP,prob1,3,37.362819157464145
CENTER_LINE,NBIPOP,prob2,1,31.440202605775543
CENTER_LINE,NBIPOP,prob2,2,31.440202605776182
CENTER_LINE,NBIPOP,prob2,3,31.440202605775642
CENTER_LINE,NBIPOP,prob3,1,28.23440157359433
CENTER_LINE,NBIPOP,prob3,2,28.50530430571426
CENTER_LINE,NBIPOP,prob3,3,28.47353274336313
CENTER_LINE,NBIPOP,prob4,1,5194.893082823003
CENTER_LINE,NBIPOP,prob4,2,5434.996342613184
CENTER_LINE,NBIPOP,prob4,3,3049.901174133944
CENTER_LINE,ALConstraint,prob1,1,36.34354195195386
CENTER_LINE,ALConstraint,prob1,2,36.3515103129008
CENTER_LINE,ALConstraint,prob1,3,43.612396197072435
CENTER_LINE,ALConstraint,prob2,1,31.44020260577624
CENTER_LINE,ALConstraint,prob2,2,31.44020260577558
CENTER_LINE,ALConstraint,prob2,3,31.44020260577542
CENTER_LINE,ALConstraint,prob3,1,28.838574036653917
CENTER_LINE,ALConstraint,prob3,2,28.992105080549585
CENTER_LINE,ALConstraint,prob3,3,28.800847169250122
CENTER_LINE,ALConstraint,prob4,1,5657.065086858992
CENTER_LINE,ALConstraint,prob4,2,5466.952235449341
CENTER_LINE,ALConstraint,prob4,3,4290.377486521044
CENTER_LINE,RFSurrogate,prob1,1,36.367812241503714
CENTER_LINE,RFSurrogate,prob1,2,36.330350084641935
CENTER_LINE,RFSurrogate,prob1,3,37.37721119440508
CENTER_LINE,RFSurrogate,prob2,1,31.440217194895826
CENTER_LINE,RFSurrogate,prob2,2,31.440202605775504
CENTER_LINE,RFSurrogate,prob2,3,31.44020260577572
CENTER_LINE,RFSurrogate,prob3,1,29.536241397379072
CENTER_LINE,RFSurrogate,prob3,2,28.236512516926986
CENTER_LINE,RFSurrogate,prob3,3,28.36881325309779
CENTER_LINE,RFSurrogate,prob4,1,4024.103617185934
CENTER_LINE,RFSurrogate,prob4,2,5546.848870299639
CENTER_LINE,RFSurrogate,prob4,3,2742.257392662557
CENTER_LINE,Islands,prob1,1,37.357215844644784
CENTER_LINE,Islands,prob1,2,36.45071540461555
CENTER_LINE,Islands,prob1,3,36.352178927305665
CENTER_LINE,Islands,prob2,1,31.440202605775518
CENTER_LINE,Islands,prob2,2,31.440202605775465
CENTER_LINE,Islands,prob2,3,31.440202605775387
CENTER_LINE,Islands,prob3,1,28.574463337956654
CENTER_LINE,Islands,prob3,2,28.21708130418888
CENTER_LINE,Islands,prob3,3,28.83650421845775
CENTER_LINE,Islands,prob4,1,5433.828102118628
CENTER_LINE,Islands,prob4,2,5432.951670032675
CENTER_LINE,Islands,prob4,3,5450.55583641674
CENTER_LINE,GridBIPOP,prob1,1,37.38266473939032
CENTER_LINE,GridBIPOP,prob1,2,36.34009846664592
CENTER_LINE,GridBIPOP,prob1,3,38.38929846052091
CENTER_LINE,GridBIPOP,prob2,1,31.48095689544591
CENTER_LINE,GridBIPOP,prob2,2,31.480947107608976
CENTER_LINE,GridBIPOP,prob2,3,31.480946144744635
CENTER_LINE,GridBIPOP,prob3,1,30.175058326997714
CENTER_LINE,GridBIPOP,prob3,2,31.118660831122288
CENTER_LINE,GridBIPOP,prob3,3,28.245885287586127
CENTER_LINE,GridBIPOP,prob4,1,5436.81123153146
CENTER_LINE,GridBIPOP,prob4,2,5819.826551901232
CENTER_LINE,GridBIPOP,prob4,3,3004.7133935457077
CENTER_LINE,StochRank,prob1,1,38.388826071693195
CENTER_LINE,StochRank,prob1,2,36.342734783045955
CENTER_LINE,StochRank,prob1,3,36.387723560451704
CENTER_LINE,StochRank,prob2,1,31.48094614474539
CENTER_LINE,StochRank,prob2,2,31.48099459325976
CENTER_LINE,StochRank,prob2,3,31.480947424288587
CENTER_LINE,StochRank,prob3,1,28.301716578386863
CENTER_LINE,StochRank,prob3,2,29.78063727063019
