idx,x,y
836,20.0160103745,23.3327207356
837,20.0496318353,23.3675608639
838,20.0835141372,23.4010454752
839,20.1176572838,23.4331594624
840,20.1520611941,23.4638876957
841,20.1867257013,23.4932150236
842,20.2216505512,23.5211262735
843,20.2568354009,23.5476062534
844,20.2922798167,23.5726397521
845,20.3279832738,23.5962115408
846,20.3639451534,23.6183063738
847,20.4001647424,23.6389089895
848,20.4366412312,23.6580041117
849,20.4733737122,23.6755764504
850,20.5103611786,23.6916107031
851,20.5476025227,23.7060915556
852,20.5850965341,23.7190036834
853,20.6228418986,23.7303317524
854,20.6608371960,23.7400604207
855,20.6990808993,23.7481743391
856,20.7375713724,23.7546581524
857,20.7763068688,23.7594965009
858,20.8152855300,23.7626740213
859,20.8545053838,23.7641753480
860,20.8939643427,23.7639851140
861,20.9336602022,23.7620879528
862,20.9735906391,23.7584684992
863,21.0137532100,23.7531113903
864,21.0541453496,23.7460012676
865,21.0947643686,23.7371227774
866,21.1356074526,23.7264605729
867,21.1766716601,23.7139993148
868,21.2179539206,23.6997236733
869,21.2594510332,23.6836183291
870,21.3011596646,23.6656679747
871,21.3430763476,23.6458573160
